v8-version,6,1,534,50,0
code-creation,Builtin,5,191082,0x7bdf5cb300,335,"CreateIterResultObject"
code-creation,Builtin,5,191085,0x7bdf5cb460,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,191088,0x7bdf5cb680,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,191091,0x7bdf5cb8c0,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,191096,0x7bdf5cbf40,200,"ToBoolean"
code-creation,Builtin,5,191099,0x7bdf5cc020,4284,"ResolveNativePromise"
code-creation,Builtin,5,191102,0x7bdf5cd0e0,448,"StringEqual"
code-creation,Builtin,5,191105,0x7bdf5cd2a0,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,191109,0x7bdf5ce760,828,"RejectNativePromise"
code-creation,Builtin,5,191112,0x7bdf5ceaa0,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,191115,0x7bdf5cf340,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,191118,0x7bdf5cf9e0,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,191121,0x7bdf5cfde0,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,191125,0x7bdf5cffe0,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,191128,0x7bdf5d03c0,207,"AsyncGeneratorReject"
code-creation,Builtin,5,191131,0x7bdf5d04a0,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,191134,0x7bdf5d08a0,1024,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,191137,0x7bdf5d0ca0,134,"Illegal"
code-creation,Builtin,5,191140,0x7bdf5d0d40,134,"ObjectAssign"
code-creation,Builtin,5,191144,0x7bdf5d0de0,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,191147,0x7bdf5d0e80,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,191150,0x7bdf5d0f20,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,191153,0x7bdf5d0fc0,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,191157,0x7bdf5d1060,134,"ObjectIs"
code-creation,Builtin,5,191159,0x7bdf5d1100,134,"ObjectPreventExtensions"
code-creation,Builtin,5,191163,0x7bdf5d11a0,134,"ObjectSeal"
code-creation,Builtin,5,191166,0x7bdf5d1240,972,"ObjectCreate"
code-creation,Builtin,5,191169,0x7bdf5d1620,134,"ObjectDefineProperties"
code-creation,Builtin,5,191172,0x7bdf5d16c0,134,"ObjectDefineProperty"
code-creation,Builtin,5,191175,0x7bdf5d1760,134,"ObjectFreeze"
code-creation,Builtin,5,191178,0x7bdf5d1800,134,"ObjectGetPrototypeOf"
code-creation,Builtin,5,191181,0x7bdf5d18a0,134,"ObjectSetPrototypeOf"
code-creation,Builtin,5,191184,0x7bdf5d1940,134,"ObjectIsExtensible"
code-creation,Builtin,5,191187,0x7bdf5d19e0,134,"ObjectIsFrozen"
code-creation,Builtin,5,191190,0x7bdf5d1a80,134,"ObjectIsSealed"
code-creation,Builtin,5,191193,0x7bdf5d1b20,640,"ObjectKeys"
code-creation,Builtin,5,191196,0x7bdf5d1da0,134,"ObjectEntries"
code-creation,Builtin,5,191199,0x7bdf5d1e40,134,"ObjectValues"
code-creation,Builtin,5,191202,0x7bdf5d1ee0,134,"ObjectDefineGetter"
code-creation,Builtin,5,191205,0x7bdf5d1f80,134,"ObjectDefineSetter"
code-creation,Builtin,5,191208,0x7bdf5d2020,2139,"ObjectHasOwnProperty"
code-creation,Builtin,5,191212,0x7bdf5d2880,134,"ObjectLookupGetter"
code-creation,Builtin,5,191214,0x7bdf5d2920,134,"ObjectLookupSetter"
code-creation,Builtin,5,191218,0x7bdf5d29c0,319,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,191221,0x7bdf5d2b00,134,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,191224,0x7bdf5d2ba0,880,"ObjectProtoToString"
code-creation,Builtin,5,191227,0x7bdf5d2f20,139,"ObjectPrototypeValueOf"
code-creation,Builtin,5,191230,0x7bdf5d2fc0,134,"ObjectPrototypeGetProto"
code-creation,Builtin,5,191233,0x7bdf5d3060,134,"ObjectPrototypeSetProto"
code-creation,Builtin,5,191236,0x7bdf5d3100,134,"FunctionConstructor"
code-creation,Builtin,5,191239,0x7bdf5d31a0,160,"FunctionPrototypeApply"
code-creation,Builtin,5,191242,0x7bdf5d3240,1392,"CallWithArrayLike"
code-creation,Builtin,5,191245,0x7bdf5d37c0,177,"CallVarargs"
code-creation,Builtin,5,191248,0x7bdf5d3880,964,"FastFunctionPrototypeBind"
code-creation,Builtin,5,191251,0x7bdf5d3c60,134,"FunctionPrototypeBind"
code-creation,Builtin,5,191254,0x7bdf5d3d00,143,"FunctionPrototypeCall"
code-creation,Builtin,5,191258,0x7bdf5d3da0,134,"FunctionPrototypeToString"
code-creation,Builtin,5,191262,0x7bdf5d3e40,355,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,191265,0x7bdf5d3fc0,143,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,191268,0x7bdf5d4060,1160,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,191271,0x7bdf5d4500,1136,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,191274,0x7bdf5d4980,251,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,191277,0x7bdf5d4a80,259,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,191280,0x7bdf5d4ba0,116,"ArrayCode"
code-creation,Builtin,5,191283,0x7bdf5d4c20,203,"ArrayIsArray"
code-creation,Builtin,5,191286,0x7bdf5d4d00,134,"ArrayConcat"
code-creation,Builtin,5,191289,0x7bdf5d4da0,763,"FastArrayPop"
code-creation,Builtin,5,191292,0x7bdf5d50a0,134,"ArrayPop"
code-creation,Builtin,5,191295,0x7bdf5d5140,2660,"FastArrayPush"
code-creation,Builtin,5,191298,0x7bdf5d5bc0,134,"ArrayPush"
code-creation,Builtin,5,191302,0x7bdf5d5c60,1184,"FastArrayShift"
code-creation,Builtin,5,191304,0x7bdf5d6100,134,"ArrayShift"
